Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2019-11-27,64.6869125366211,64.72072793178671,64.07588426604244,64.14109019477613,65235600
2019-11-29,64.54441833496094,64.72555327883829,64.21837396190178,64.38743619101386,46617600
2019-12-02,63.79814147949219,64.78592979489937,63.626669134427246,64.54924415479319,94487200
2019-12-03,62.66062927246094,62.67994709368159,61.89744635222638,62.385300569859396,114430400
2019-12-04,63.21369171142578,63.592869378884906,62.9576881912002,63.05188192035558,67181600
2019-12-05,64.1410903930664,64.21596628682174,63.45278347643845,63.708786950569554,74424400
2019-12-06,65.38007354736328,65.4501144789685,64.5565121818328,64.59999018409937,106075600
2019-12-09,64.4646987915039,65.40176370305393,63.97925495967944,65.20855611457696,128042400
2019-12-10,64.84146118164062,65.2254662531673,64.20869045927869,64.87044158396002,90420400
2019-12-11,65.3945541381836,65.47425765527915,64.84632159591263,64.92119012991083,78756800
2019-12-12,65.56119537353516,65.8268614655368,64.56133418960256,64.67242823883937,137310400
2019-12-13,66.4523696899414,66.48859520359403,65.43318347358382,65.56118520208942,133587600
